Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378213
Array task ID: 14
The job was run on these nodes: idun-04-20
[I 2026-05-04 00:16:55,976] Trial 0 finished with value: 0.16241115112550544 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:37:32,979] Trial 11 finished with value: 0.15876799138449443 and parameters: {'alpha': 544412.1535787785, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.012129970296072167, 'iw_n_components': 30, 'iw_logistic_c': 0.02848741755888612, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:40:19,555] Trial 12 finished with value: -1.0 and parameters: {'alpha': 638866.4380297058, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0005406166470909712, 'iw_n_components': 30, 'iw_logistic_c': 0.007213213271042842, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:43:05,580] Trial 13 finished with value: 0.14483648783006514 and parameters: {'alpha': 306105.16415190464, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.04764822845426622, 'iw_n_components': 60, 'iw_logistic_c': 1.7046535203097053e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:46:00,667] Trial 14 finished with value: 0.15790268756982495 and parameters: {'alpha': 422253.5492441645, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.003719893214609677, 'iw_n_components': 50, 'iw_logistic_c': 8.82402508192532, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:48:43,449] Trial 15 finished with value: 0.15953563140672905 and parameters: {'alpha': 928555.4070876365, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0005007940967437707, 'iw_n_components': 20, 'iw_logistic_c': 0.3665211178920532, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.16241115112550544.
[I 2026-05-04 00:51:41,196] Trial 16 finished with value: 0.1645894429865637 and parameters: {'alpha': 790709.6635746278, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.00650937327865933, 'iw_n_components': 80, 'iw_logistic_c': 0.0005073504827052959, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1645894429865637.
[I 2026-05-04 00:54:36,175] Trial 17 finished with value: 0.16607915684544888 and parameters: {'alpha': 893236.0327259534, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008291187593492805, 'iw_n_components': 80, 'iw_logistic_c': 0.000161356134949524, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 17 with value: 0.16607915684544888.
[I 2026-05-04 00:55:06,595] Trial 18 finished with value: 0.13915363200475328 and parameters: {'alpha': 1808095.4082960056, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 17 with value: 0.16607915684544888.
[I 2026-05-04 00:58:01,945] Trial 19 finished with value: 0.16508743806069462 and parameters: {'alpha': 1027993.1033852622, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.01483279876801974, 'iw_n_components': 80, 'iw_logistic_c': 0.00011466281527161603, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 17 with value: 0.16607915684544888.
[I 2026-05-04 01:00:55,934] Trial 20 finished with value: 0.16844390673000342 and parameters: {'alpha': 1837889.5015658338, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.025338916460123078, 'iw_n_components': 80, 'iw_logistic_c': 2.825020802285628e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 20 with value: 0.16844390673000342.
[I 2026-05-04 01:03:50,886] Trial 21 finished with value: 0.1682275481622874 and parameters: {'alpha': 1898852.3017960528, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02459597736977502, 'iw_n_components': 80, 'iw_logistic_c': 3.987446967201551e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 20 with value: 0.16844390673000342.
[I 2026-05-04 01:06:44,546] Trial 22 finished with value: 0.16886563359708434 and parameters: {'alpha': 1912218.7850161658, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04701918684904653, 'iw_n_components': 80, 'iw_logistic_c': 1.0214758020585661e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:09:37,981] Trial 23 finished with value: 0.1652330006069634 and parameters: {'alpha': 2980203.29730795, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03344738699082358, 'iw_n_components': 80, 'iw_logistic_c': 2.858486623755315e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:12:31,872] Trial 24 finished with value: 0.16836798218828433 and parameters: {'alpha': 1868751.9448225617, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.026394867615132458, 'iw_n_components': 80, 'iw_logistic_c': 1.6216783010754056e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:15:25,202] Trial 25 finished with value: 0.14516160400481906 and parameters: {'alpha': 2385794.705192603, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04107987316397213, 'iw_n_components': 80, 'iw_logistic_c': 4.158493780953069e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:18:18,368] Trial 26 finished with value: 0.15150555678310024 and parameters: {'alpha': 1388777.0658586975, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.025373094900708017, 'iw_n_components': 80, 'iw_logistic_c': 2.0537231184721244e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:18:48,863] Trial 27 finished with value: 0.1394766962198401 and parameters: {'alpha': 1581363.683481606, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:21:26,055] Trial 28 finished with value: 0.16135143012836203 and parameters: {'alpha': 2522314.7440777216, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.02607211107972013, 'iw_n_components': 10, 'iw_logistic_c': 1.495088319742403e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:24:11,973] Trial 29 finished with value: 0.15193450223427946 and parameters: {'alpha': 2280534.2186467657, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010936852604366472, 'iw_n_components': 50, 'iw_logistic_c': 7.64802483031248e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:26:58,735] Trial 30 finished with value: 0.16622917678980217 and parameters: {'alpha': 1418993.1499864918, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.019550353442710347, 'iw_n_components': 60, 'iw_logistic_c': 3.176001244097342e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:29:53,914] Trial 31 finished with value: 0.16815514645588361 and parameters: {'alpha': 1931637.129673805, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0287658976088341, 'iw_n_components': 80, 'iw_logistic_c': 5.13881569004409e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:32:47,677] Trial 32 finished with value: 0.16736994588904666 and parameters: {'alpha': 1978942.5678763355, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04777387338278206, 'iw_n_components': 80, 'iw_logistic_c': 5.325015905983235e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:35:43,465] Trial 33 finished with value: 0.1669545852978545 and parameters: {'alpha': 1548674.9633102452, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.021520670116795464, 'iw_n_components': 80, 'iw_logistic_c': 0.00017941125462960118, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:38:44,242] Trial 34 finished with value: 0.16652365751229703 and parameters: {'alpha': 2310725.750193107, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.029733459268330046, 'iw_n_components': 80, 'iw_logistic_c': 0.001695379104049886, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16886563359708434.
[I 2026-05-04 01:41:37,784] Trial 35 finished with value: 0.17027989599271182 and parameters: {'alpha': 1196704.3156241442, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.036753952121060064, 'iw_n_components': 80, 'iw_logistic_c': 1.080021904677369e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:44:30,737] Trial 36 finished with value: 0.15302600958856682 and parameters: {'alpha': 1140857.4233554746, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.03549744832119897, 'iw_n_components': 80, 'iw_logistic_c': 1.0127075765729863e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:47:23,677] Trial 37 finished with value: 0.15276019612465236 and parameters: {'alpha': 1319696.967055823, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.014916566597232084, 'iw_n_components': 80, 'iw_logistic_c': 8.425733902334169e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:47:54,113] Trial 38 finished with value: 0.1414412298846501 and parameters: {'alpha': 709875.2279422638, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:50:29,140] Trial 39 finished with value: 0.1470530868491645 and parameters: {'alpha': 1672248.163160222, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.038170716583685864, 'iw_n_components': 10, 'iw_logistic_c': 1.7289077103855655e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:53:14,325] Trial 40 finished with value: 0.14202621051668196 and parameters: {'alpha': 1059295.8277429952, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010082391121644312, 'iw_n_components': 50, 'iw_logistic_c': 1.2048998845585884e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:56:08,317] Trial 41 finished with value: 0.1682365185424492 and parameters: {'alpha': 1946584.2886556578, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02231722209518688, 'iw_n_components': 80, 'iw_logistic_c': 4.5913951313251385e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 01:59:02,794] Trial 42 finished with value: 0.16672346050078815 and parameters: {'alpha': 2129863.392942403, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.017066157938768724, 'iw_n_components': 80, 'iw_logistic_c': 7.801438424332095e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:01:55,890] Trial 43 finished with value: 0.16898176903705514 and parameters: {'alpha': 2727239.8979815277, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04811441733542788, 'iw_n_components': 80, 'iw_logistic_c': 1.1486111082723382e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:04:33,268] Trial 44 finished with value: 0.14601113332181848 and parameters: {'alpha': 2706312.897889691, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.04954344280945157, 'iw_n_components': 20, 'iw_logistic_c': 7.74864030244879e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:05:03,676] Trial 45 finished with value: 0.13826814184200745 and parameters: {'alpha': 2688753.6017066366, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:07:49,135] Trial 46 finished with value: 0.1663903091354057 and parameters: {'alpha': 1643000.111552944, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0038705089045628555, 'iw_n_components': 40, 'iw_logistic_c': 1.6341593157958445e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:10:45,397] Trial 47 finished with value: 0.15764637317238134 and parameters: {'alpha': 194896.9638392982, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03835564537516083, 'iw_n_components': 80, 'iw_logistic_c': 0.00047207350942819715, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:13:31,587] Trial 48 finished with value: 0.16753289162636917 and parameters: {'alpha': 476292.93391909637, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03329411995631336, 'iw_n_components': 60, 'iw_logistic_c': 4.7707989383393725e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:16:14,179] Trial 49 finished with value: 0.16361266994646734 and parameters: {'alpha': 1233714.767840803, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.041857130545640206, 'iw_n_components': 30, 'iw_logistic_c': 0.0002088398738427829, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:16:44,160] Trial 50 finished with value: 0.13860061731364753 and parameters: {'alpha': 2301469.9288332933, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:19:34,535] Trial 51 finished with value: 0.16813099848716634 and parameters: {'alpha': 2034065.9326510038, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.020284784509983025, 'iw_n_components': 80, 'iw_logistic_c': 2.6308556745899802e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:22:25,592] Trial 52 finished with value: 0.16928518993131972 and parameters: {'alpha': 1445893.8146737919, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02900340950314387, 'iw_n_components': 80, 'iw_logistic_c': 6.187929221856392e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:25:15,688] Trial 53 finished with value: 0.16992328207341847 and parameters: {'alpha': 1553815.7059819214, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.029740735721683915, 'iw_n_components': 80, 'iw_logistic_c': 1.0282769733487416e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:28:00,830] Trial 54 finished with value: 0.15349391830566278 and parameters: {'alpha': 880131.1588697559, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0319439369849714, 'iw_n_components': 40, 'iw_logistic_c': 1.30928905315467e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:30:53,955] Trial 55 finished with value: 0.14709510221843922 and parameters: {'alpha': 1434827.7135173474, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.049007084978687554, 'iw_n_components': 80, 'iw_logistic_c': 6.372118854671147e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:33:28,864] Trial 56 finished with value: 0.1466628567673359 and parameters: {'alpha': 1033216.8278378702, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002235721060746777, 'iw_n_components': 10, 'iw_logistic_c': 3.27034362050381e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:36:09,039] Trial 57 finished with value: 0.1571345956746612 and parameters: {'alpha': 1662257.9547018458, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.040418078925588435, 'iw_n_components': 20, 'iw_logistic_c': 0.0011905458228950309, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:38:50,568] Trial 58 finished with value: 0.1640917305663328 and parameters: {'alpha': 2790856.1541329734, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.015696285567444165, 'iw_n_components': 30, 'iw_logistic_c': 8.115833874466486e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:41:41,527] Trial 59 finished with value: 0.1638808312547025 and parameters: {'alpha': 296104.23685738415, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.030719244586484437, 'iw_n_components': 80, 'iw_logistic_c': 2.8145843944161685e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:42:11,645] Trial 60 finished with value: 0.1400682349546926 and parameters: {'alpha': 1246505.9471300698, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:45:03,315] Trial 61 finished with value: 0.16853159871888823 and parameters: {'alpha': 1770711.2887562816, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.028453168810924596, 'iw_n_components': 80, 'iw_logistic_c': 1.3361555186850665e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:47:54,493] Trial 62 finished with value: 0.1695209866950434 and parameters: {'alpha': 1470463.5208977808, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04036773407147239, 'iw_n_components': 80, 'iw_logistic_c': 8.754820743676572e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:50:46,044] Trial 63 finished with value: 0.16886453823129327 and parameters: {'alpha': 1511613.8817384823, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.000688282772963379, 'iw_n_components': 80, 'iw_logistic_c': 9.361298283060052e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
[I 2026-05-04 02:53:37,641] Trial 64 finished with value: 0.15242316263297445 and parameters: {'alpha': 100470.76573439683, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0009579438404004784, 'iw_n_components': 80, 'iw_logistic_c': 3.6203930684070454e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 35 with value: 0.17027989599271182.
