Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24351978
Array task ID: 3
The job was run on these nodes: idun-03-24
[I 2026-04-28 16:17:52,448] Trial 0 finished with value: 0.18779389010566966 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.010431250548547025, 'iw_n_components': 5, 'iw_logistic_c': 0.024278386754340225, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.18779389010566966.
[I 2026-04-28 16:58:41,000] Trial 11 finished with value: 0.18321344599460476 and parameters: {'alpha': 577233.6743360584, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005669524932139001, 'iw_n_components': 3, 'iw_logistic_c': 1.0802960000559912e-06, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.18927407883971967.
[I 2026-04-28 17:02:43,672] Trial 12 finished with value: 0.19088039198414478 and parameters: {'alpha': 129631.67225383865, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.007122348757931608, 'iw_n_components': 20, 'iw_logistic_c': 9.441631073109307e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 12 with value: 0.19088039198414478.
[I 2026-04-28 17:06:48,544] Trial 13 finished with value: 0.18976654487878636 and parameters: {'alpha': 123189.13706134514, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.007686982009905863, 'iw_n_components': 20, 'iw_logistic_c': 1.294114236856848e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 12 with value: 0.19088039198414478.
[I 2026-04-28 17:10:51,491] Trial 14 finished with value: 0.18842891883000176 and parameters: {'alpha': 112868.47322961554, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.007121351942373396, 'iw_n_components': 20, 'iw_logistic_c': 3.769341359599477e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 12 with value: 0.19088039198414478.
[I 2026-04-28 17:14:56,037] Trial 15 finished with value: 0.18541296483318448 and parameters: {'alpha': 104243.54462248828, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0087930736671574, 'iw_n_components': 20, 'iw_logistic_c': 1.108657188254171e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 12 with value: 0.19088039198414478.
[I 2026-04-28 17:18:56,434] Trial 16 finished with value: 0.1936431922684698 and parameters: {'alpha': 148044.41896623024, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.011439399581182366, 'iw_n_components': 10, 'iw_logistic_c': 7.227567340331164e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:22:58,968] Trial 17 finished with value: 0.1920296717803236 and parameters: {'alpha': 170144.708571901, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.011832472435894512, 'iw_n_components': 10, 'iw_logistic_c': 0.003385043301266117, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:27:02,778] Trial 18 finished with value: 0.19335835699676418 and parameters: {'alpha': 331302.77192726894, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.012525524376345446, 'iw_n_components': 10, 'iw_logistic_c': 0.00266630267261122, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:31:05,575] Trial 19 finished with value: 0.1909176857020537 and parameters: {'alpha': 322633.6672336386, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.027837696598704612, 'iw_n_components': 10, 'iw_logistic_c': 0.0001901251720632836, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:35:09,771] Trial 20 finished with value: 0.19236023451946266 and parameters: {'alpha': 364177.0504795307, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.013077210982897143, 'iw_n_components': 10, 'iw_logistic_c': 0.0028108849120586387, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:39:15,112] Trial 21 finished with value: 0.19230696030928007 and parameters: {'alpha': 340816.74033780885, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.013815248515733165, 'iw_n_components': 10, 'iw_logistic_c': 0.0029787905911097443, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:43:21,198] Trial 22 finished with value: 0.19076163178452799 and parameters: {'alpha': 722920.8000811625, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.011139401122957604, 'iw_n_components': 10, 'iw_logistic_c': 0.0029383804294714757, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:47:25,615] Trial 23 finished with value: 0.19164075906176284 and parameters: {'alpha': 396773.25590159284, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.019920077303035917, 'iw_n_components': 10, 'iw_logistic_c': 0.7145937056019435, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:51:28,094] Trial 24 finished with value: 0.1902305163602723 and parameters: {'alpha': 186484.60700585574, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.026928299302448194, 'iw_n_components': 10, 'iw_logistic_c': 9.002422722901467e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:55:06,169] Trial 25 finished with value: 0.18579048690613578 and parameters: {'alpha': 635736.8673920203, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.013397833380613709, 'iw_n_components': 5, 'iw_logistic_c': 0.0012066141774351108, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 17:58:37,330] Trial 26 finished with value: 0.18796793238490464 and parameters: {'alpha': 323600.9087870618, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005455511023106106, 'iw_n_components': 2, 'iw_logistic_c': 0.01137139182208143, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:02:50,454] Trial 27 finished with value: 0.19319565614670375 and parameters: {'alpha': 237647.99043853552, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.009493417088237192, 'iw_n_components': 30, 'iw_logistic_c': 0.13291195731706887, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:07:07,193] Trial 28 finished with value: 0.1919263166356533 and parameters: {'alpha': 198721.55456097217, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.009400058795395995, 'iw_n_components': 30, 'iw_logistic_c': 0.11717983895771557, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:11:05,721] Trial 29 finished with value: 0.17489482083205943 and parameters: {'alpha': 237504.15712171592, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010343606543539646, 'iw_n_components': 30, 'iw_logistic_c': 0.47076290166829177, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:14:44,626] Trial 30 finished with value: 0.18442795918063729 and parameters: {'alpha': 90915.88311735052, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.00607724413513841, 'iw_n_components': 5, 'iw_logistic_c': 0.7666192781469765, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:18:59,699] Trial 31 finished with value: 0.1918670188279765 and parameters: {'alpha': 273826.3639644551, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.016558115175205796, 'iw_n_components': 30, 'iw_logistic_c': 0.008530217199293868, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:23:04,328] Trial 32 finished with value: 0.19266786937046068 and parameters: {'alpha': 218440.56321644687, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.012763641001818215, 'iw_n_components': 10, 'iw_logistic_c': 0.05137622226968564, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:27:09,280] Trial 33 finished with value: 0.19358331042231738 and parameters: {'alpha': 220403.32206615063, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.008456363757809579, 'iw_n_components': 10, 'iw_logistic_c': 0.05146923530282006, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:31:05,998] Trial 34 finished with value: 0.19089668708121016 and parameters: {'alpha': 147998.4345516987, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.009219345145315121, 'iw_n_components': 30, 'iw_logistic_c': 0.04738896097479417, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:35:08,128] Trial 35 finished with value: 0.19081334559940002 and parameters: {'alpha': 222102.56426570387, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004533621727769896, 'iw_n_components': 10, 'iw_logistic_c': 0.1995530001077721, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:39:09,523] Trial 36 finished with value: 0.17674311608376705 and parameters: {'alpha': 280836.28482551593, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.007891152155213325, 'iw_n_components': 10, 'iw_logistic_c': 0.021594338069778497, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:42:20,872] Trial 37 finished with value: 0.18971617191765575 and parameters: {'alpha': 146079.99656578212, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.01783880916436372, 'iw_n_components': 1, 'iw_logistic_c': 0.0009352288110776821, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:45:52,241] Trial 38 finished with value: 0.18828210898707085 and parameters: {'alpha': 455743.76476029167, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.048987269194150786, 'iw_n_components': 2, 'iw_logistic_c': 0.2554670312464747, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:50:08,059] Trial 39 finished with value: 0.1900612147519518 and parameters: {'alpha': 164163.8304629377, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.010625364906254204, 'iw_n_components': 30, 'iw_logistic_c': 2.295686027781324, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:53:44,882] Trial 40 finished with value: 0.18225416660512303 and parameters: {'alpha': 56033.50450399401, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.003056576503069229, 'iw_n_components': 5, 'iw_logistic_c': 0.0003711207160474838, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 18:57:49,783] Trial 41 finished with value: 0.19270805913786662 and parameters: {'alpha': 216333.89885660235, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.015065092184248417, 'iw_n_components': 10, 'iw_logistic_c': 0.0360164281114935, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:01:54,202] Trial 42 finished with value: 0.19288096508055538 and parameters: {'alpha': 199997.9336074257, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.014682939449406678, 'iw_n_components': 10, 'iw_logistic_c': 0.035293297724710196, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:05:57,321] Trial 43 finished with value: 0.19179264752847494 and parameters: {'alpha': 260198.58889800616, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.02645033307903056, 'iw_n_components': 10, 'iw_logistic_c': 0.007203739886536624, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:09:30,540] Trial 44 finished with value: 0.18914450517078418 and parameters: {'alpha': 197730.9903067649, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.01925483159494566, 'iw_n_components': 3, 'iw_logistic_c': 8.325084177994981e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:12:44,218] Trial 45 finished with value: 0.1931577262243533 and parameters: {'alpha': 291153.6251040119, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0063120608210303405, 'iw_n_components': 1, 'iw_logistic_c': 0.16476753931283666, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:15:57,269] Trial 46 finished with value: 0.1875467386566733 and parameters: {'alpha': 404894.5738298478, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008449860983275388, 'iw_n_components': 1, 'iw_logistic_c': 8.604269920299188, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:19:09,850] Trial 47 finished with value: 0.19267676284567078 and parameters: {'alpha': 289880.7083248606, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006682993310989879, 'iw_n_components': 1, 'iw_logistic_c': 0.10765456822937226, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:22:23,393] Trial 48 finished with value: 0.1857226621562726 and parameters: {'alpha': 509812.6885125998, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004616100336516116, 'iw_n_components': 1, 'iw_logistic_c': 2.6288667069013863e-06, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:25:37,058] Trial 49 finished with value: 0.1911905170925382 and parameters: {'alpha': 302285.313192535, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0021412867223204036, 'iw_n_components': 1, 'iw_logistic_c': 0.2948670323703259, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:28:56,041] Trial 50 finished with value: 0.1861973104042436 and parameters: {'alpha': 129064.82452526833, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.006419162262670603, 'iw_n_components': 3, 'iw_logistic_c': 0.0009283184486554385, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:33:00,262] Trial 51 finished with value: 0.19303079157446726 and parameters: {'alpha': 242907.21851703743, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.01142415698420675, 'iw_n_components': 10, 'iw_logistic_c': 0.02400674244140289, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.1936431922684698.
[I 2026-04-28 19:37:03,561] Trial 52 finished with value: 0.1937051051428333 and parameters: {'alpha': 244608.4654879998, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.01162772520904646, 'iw_n_components': 10, 'iw_logistic_c': 0.01719175634968191, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 52 with value: 0.1937051051428333.
[I 2026-04-28 19:40:48,959] Trial 53 finished with value: 0.19150355781773917 and parameters: {'alpha': 365478.17869985494, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.007789310891047609, 'iw_n_components': 10, 'iw_logistic_c': 0.9761618134417335, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 52 with value: 0.1937051051428333.
[I 2026-04-28 19:44:17,853] Trial 54 finished with value: 0.18852497620027228 and parameters: {'alpha': 160140.05901822404, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.00959311462918535, 'iw_n_components': 2, 'iw_logistic_c': 0.00505300781720486, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 52 with value: 0.1937051051428333.
[I 2026-04-28 19:48:33,148] Trial 55 finished with value: 0.19136885122553313 and parameters: {'alpha': 181489.97464946585, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.01187239161631846, 'iw_n_components': 30, 'iw_logistic_c': 0.07926888767076504, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 52 with value: 0.1937051051428333.
[I 2026-04-28 19:52:35,907] Trial 56 finished with value: 0.19510921902600342 and parameters: {'alpha': 248825.72133845533, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005470551801369585, 'iw_n_components': 10, 'iw_logistic_c': 1.7707588364937321, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.19510921902600342.
[I 2026-04-28 19:56:37,876] Trial 57 finished with value: 0.19381770297669798 and parameters: {'alpha': 251474.26722052737, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0036359424137400237, 'iw_n_components': 10, 'iw_logistic_c': 1.8874195913817033, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.19510921902600342.
[I 2026-04-28 20:00:45,299] Trial 58 finished with value: 0.18991487814272348 and parameters: {'alpha': 105124.365454174, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.002995195611173191, 'iw_n_components': 10, 'iw_logistic_c': 2.8564932955110547, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.19510921902600342.
[I 2026-04-28 20:04:43,986] Trial 59 finished with value: 0.194574944966373 and parameters: {'alpha': 338079.82518424373, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003958721696830177, 'iw_n_components': 10, 'iw_logistic_c': 0.00014421883371513002, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.19510921902600342.
