Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378211
Array task ID: 12
The job was run on these nodes: idun-04-17
[I 2026-05-04 00:16:56,438] Trial 0 finished with value: 0.1833231828020953 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:36:10,242] Trial 11 finished with value: 0.1802654836406687 and parameters: {'alpha': 544412.1535787785, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.012129970296072167, 'iw_n_components': 30, 'iw_logistic_c': 0.02848741755888612, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:38:39,740] Trial 12 finished with value: -1.0 and parameters: {'alpha': 638866.4380297058, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0005406166470909712, 'iw_n_components': 30, 'iw_logistic_c': 0.007213213271042842, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:41:09,740] Trial 13 finished with value: 0.1688201790822079 and parameters: {'alpha': 306105.16415190464, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.04764822845426622, 'iw_n_components': 60, 'iw_logistic_c': 1.7046535203097053e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:43:48,951] Trial 14 finished with value: 0.18092580908185146 and parameters: {'alpha': 422253.5492441645, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.003719893214609677, 'iw_n_components': 50, 'iw_logistic_c': 8.82402508192532, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:46:16,039] Trial 15 finished with value: 0.18135041982973782 and parameters: {'alpha': 928555.4070876365, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0005007940967437707, 'iw_n_components': 20, 'iw_logistic_c': 0.3665211178920532, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1833231828020953.
[I 2026-05-04 00:48:56,231] Trial 16 finished with value: 0.18416820077814205 and parameters: {'alpha': 790709.6635746278, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.00650937327865933, 'iw_n_components': 80, 'iw_logistic_c': 0.0005073504827052959, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 16 with value: 0.18416820077814205.
[I 2026-05-04 00:51:34,504] Trial 17 finished with value: 0.18679070120636646 and parameters: {'alpha': 893236.0327259534, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008291187593492805, 'iw_n_components': 80, 'iw_logistic_c': 0.000161356134949524, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 17 with value: 0.18679070120636646.
[I 2026-05-04 00:52:01,606] Trial 18 finished with value: 0.15746232626304105 and parameters: {'alpha': 1808095.4082960056, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 17 with value: 0.18679070120636646.
[I 2026-05-04 00:54:39,164] Trial 19 finished with value: 0.18792544888330626 and parameters: {'alpha': 1027993.1033852622, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.01483279876801974, 'iw_n_components': 80, 'iw_logistic_c': 0.00011466281527161603, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 19 with value: 0.18792544888330626.
[I 2026-05-04 00:57:16,385] Trial 20 finished with value: 0.1909386773390343 and parameters: {'alpha': 1837889.5015658338, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.025338916460123078, 'iw_n_components': 80, 'iw_logistic_c': 2.825020802285628e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 20 with value: 0.1909386773390343.
[I 2026-05-04 00:59:53,524] Trial 21 finished with value: 0.19084825303799174 and parameters: {'alpha': 1898852.3017960528, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02459597736977502, 'iw_n_components': 80, 'iw_logistic_c': 3.987446967201551e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 20 with value: 0.1909386773390343.
[I 2026-05-04 01:02:30,236] Trial 22 finished with value: 0.19262759010232366 and parameters: {'alpha': 2482449.4098312105, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03200688792218041, 'iw_n_components': 80, 'iw_logistic_c': 1.7911408977604914e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:05:06,262] Trial 23 finished with value: 0.19169655794434898 and parameters: {'alpha': 2986447.639719769, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03344738699082358, 'iw_n_components': 80, 'iw_logistic_c': 4.089372383064994e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:07:42,249] Trial 24 finished with value: 0.1711559905326648 and parameters: {'alpha': 2868413.160770046, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04902677359821617, 'iw_n_components': 80, 'iw_logistic_c': 1.2108092940605442e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:10:17,816] Trial 25 finished with value: 0.18065943871562157 and parameters: {'alpha': 2110872.761416737, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02896602938897328, 'iw_n_components': 80, 'iw_logistic_c': 1.4518472943390703e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:12:53,596] Trial 26 finished with value: 0.16186477445309616 and parameters: {'alpha': 1377144.589390388, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.030180861119110444, 'iw_n_components': 80, 'iw_logistic_c': 1.3492404903737537e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:13:20,705] Trial 27 finished with value: 0.1559531764916097 and parameters: {'alpha': 2310271.6571818325, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:15:42,244] Trial 28 finished with value: 0.18394120902010824 and parameters: {'alpha': 1493139.800191149, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.02192786135442901, 'iw_n_components': 10, 'iw_logistic_c': 1.0548071540051086e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:18:17,470] Trial 29 finished with value: 0.1780198188762952 and parameters: {'alpha': 2449125.261481474, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011778517746810286, 'iw_n_components': 50, 'iw_logistic_c': 1.2311454689598005e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:21:05,729] Trial 30 finished with value: 0.18781313375332123 and parameters: {'alpha': 1607992.6228313728, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03801279407286537, 'iw_n_components': 60, 'iw_logistic_c': 8.972715419627308e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:23:59,169] Trial 31 finished with value: 0.1903912276170408 and parameters: {'alpha': 2250463.694294322, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02294808714813001, 'iw_n_components': 80, 'iw_logistic_c': 3.4904453685277826e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.19262759010232366.
[I 2026-05-04 01:26:51,484] Trial 32 finished with value: 0.19368193339875775 and parameters: {'alpha': 2909483.0189797445, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.030173500481251062, 'iw_n_components': 80, 'iw_logistic_c': 5.174918629042453e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:29:43,604] Trial 33 finished with value: 0.19225781085000265 and parameters: {'alpha': 2690273.1370864413, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0370841805760507, 'iw_n_components': 80, 'iw_logistic_c': 4.460497464348514e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:32:35,584] Trial 34 finished with value: 0.1883672658409843 and parameters: {'alpha': 2972194.2894865815, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03637703456678542, 'iw_n_components': 80, 'iw_logistic_c': 3.085888393320394e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:35:27,505] Trial 35 finished with value: 0.1647791330278372 and parameters: {'alpha': 2473559.2803308545, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.01575395622421743, 'iw_n_components': 80, 'iw_logistic_c': 4.365193551777573e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:38:19,429] Trial 36 finished with value: 0.18545717422333877 and parameters: {'alpha': 2673406.381644393, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.03993770387552059, 'iw_n_components': 80, 'iw_logistic_c': 6.095890843373849e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:41:11,341] Trial 37 finished with value: 0.16269008517110156 and parameters: {'alpha': 2106721.7450544355, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.018893094328052463, 'iw_n_components': 80, 'iw_logistic_c': 5.142747274055043e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:41:40,940] Trial 38 finished with value: 0.15978437683963825 and parameters: {'alpha': 1263626.5385452644, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:44:14,975] Trial 39 finished with value: 0.17943891264366546 and parameters: {'alpha': 1603098.280055605, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.009421619686643392, 'iw_n_components': 10, 'iw_logistic_c': 8.499920701089768e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:46:59,845] Trial 40 finished with value: 0.18242894047600583 and parameters: {'alpha': 2509289.087469396, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.032698316731336254, 'iw_n_components': 50, 'iw_logistic_c': 2.7086566250040845e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:49:52,494] Trial 41 finished with value: 0.19341279477609183 and parameters: {'alpha': 1950997.039625823, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.026763830165674858, 'iw_n_components': 80, 'iw_logistic_c': 2.4632549318915e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:52:48,327] Trial 42 finished with value: 0.18927353138406322 and parameters: {'alpha': 2025857.9309576468, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04691039081923017, 'iw_n_components': 80, 'iw_logistic_c': 0.0002494600690954398, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:55:41,826] Trial 43 finished with value: 0.1896589217052191 and parameters: {'alpha': 2991700.2177058198, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.030681336941999843, 'iw_n_components': 80, 'iw_logistic_c': 5.345346313764501e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:58:22,080] Trial 44 finished with value: 0.16719061424175075 and parameters: {'alpha': 1607700.4249892512, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.01997913136740078, 'iw_n_components': 20, 'iw_logistic_c': 0.0022860678900735805, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 01:58:51,713] Trial 45 finished with value: 0.1558871054076042 and parameters: {'alpha': 2336095.8011933407, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:01:37,935] Trial 46 finished with value: 0.19206109604742355 and parameters: {'alpha': 2609465.3685852485, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.03590309517522253, 'iw_n_components': 40, 'iw_logistic_c': 1.1433706250029503e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:04:23,409] Trial 47 finished with value: 0.1831342971316316 and parameters: {'alpha': 194896.9638392982, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.00465981539545243, 'iw_n_components': 40, 'iw_logistic_c': 1.8730997016623278e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:07:08,070] Trial 48 finished with value: 0.17022739570468454 and parameters: {'alpha': 1151132.8799641344, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.014757532080470311, 'iw_n_components': 40, 'iw_logistic_c': 3.950853428075964e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:09:55,271] Trial 49 finished with value: 0.17750651087343194 and parameters: {'alpha': 103590.02221506227, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0023427237650539717, 'iw_n_components': 40, 'iw_logistic_c': 1.07104214478819e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:10:25,280] Trial 50 finished with value: 0.15762925662305005 and parameters: {'alpha': 1761194.1869978255, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:13:11,507] Trial 51 finished with value: 0.19056901595153547 and parameters: {'alpha': 2630881.361861068, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.037434616577348985, 'iw_n_components': 40, 'iw_logistic_c': 3.4974978863453147e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:15:56,446] Trial 52 finished with value: 0.18426232593750702 and parameters: {'alpha': 2111419.409162533, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.026863079317603206, 'iw_n_components': 30, 'iw_logistic_c': 1.692828698106317e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:18:45,978] Trial 53 finished with value: 0.19225745326792376 and parameters: {'alpha': 2656889.4703659774, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.042318802647775156, 'iw_n_components': 60, 'iw_logistic_c': 5.860857858942956e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:21:35,045] Trial 54 finished with value: 0.1868827772943855 and parameters: {'alpha': 2576764.442248186, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04307619745453021, 'iw_n_components': 60, 'iw_logistic_c': 1.2006932667373587e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:24:25,710] Trial 55 finished with value: 0.17141354207114615 and parameters: {'alpha': 333630.1449195356, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.049007084978687554, 'iw_n_components': 60, 'iw_logistic_c': 0.0004632914900172631, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:27:17,637] Trial 56 finished with value: 0.17840878688398737 and parameters: {'alpha': 1947983.1986708716, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.01904384968511004, 'iw_n_components': 60, 'iw_logistic_c': 7.632394768423456e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:30:05,646] Trial 57 finished with value: 0.18282983566108194 and parameters: {'alpha': 491400.54834478465, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.026441455229587008, 'iw_n_components': 60, 'iw_logistic_c': 1.7414382794348424e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:32:49,556] Trial 58 finished with value: 0.18438721995164747 and parameters: {'alpha': 2241666.645677875, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.038599524924895115, 'iw_n_components': 20, 'iw_logistic_c': 0.032844727770425575, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:35:32,111] Trial 59 finished with value: 0.1715406146992033 and parameters: {'alpha': 2681287.863025534, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.012057988636250402, 'iw_n_components': 30, 'iw_logistic_c': 6.288618111543867e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:36:02,037] Trial 60 finished with value: 0.16355252344878018 and parameters: {'alpha': 691634.2550011323, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:38:58,955] Trial 61 finished with value: 0.19338098811522675 and parameters: {'alpha': 2792763.7444675295, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.032381982291130755, 'iw_n_components': 80, 'iw_logistic_c': 4.5424931610212345e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.19368193339875775.
[I 2026-05-04 02:41:56,195] Trial 62 finished with value: 0.19609462890927276 and parameters: {'alpha': 1769507.6354013158, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.031221095973884748, 'iw_n_components': 80, 'iw_logistic_c': 5.955263621558371e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 62 with value: 0.19609462890927276.
[I 2026-05-04 02:44:53,147] Trial 63 finished with value: 0.19190047747698008 and parameters: {'alpha': 1378959.1026605451, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.000688282772963379, 'iw_n_components': 80, 'iw_logistic_c': 4.684649786398333e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 62 with value: 0.19609462890927276.
[I 2026-05-04 02:47:51,087] Trial 64 finished with value: 0.1924616971801575 and parameters: {'alpha': 1797605.2091577686, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.027472728193140755, 'iw_n_components': 80, 'iw_logistic_c': 3.203212141033982e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 62 with value: 0.19609462890927276.
