trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,selection_method,n_components,selection_n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,pca_dist
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11536,8P11536,15,Southern 5,1,0.04523174081820054,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05695,8N05695,15,Southern 5,2,0.04375390467127491,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N13861,8N13861,15,Southern 5,3,0.04213675499193127,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N13853,8N13853,15,Southern 5,4,0.04155024411840729,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P15000,8P15000,15,Southern 5,5,0.04138266955243699,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P14998,8P14998,15,Southern 5,6,0.04124553014227683,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N73319,8N73319,15,Southern 5,7,0.04119908428879987,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P14817,8P14817,15,Southern 5,8,0.04078735323730286,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P14810,8P14810,15,Southern 5,9,0.03987711949302233,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11542,8P11542,15,Southern 5,10,0.03986137450160187,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11525,8P11525,15,Southern 5,11,0.03950116880406864,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11537,8P11537,15,Southern 5,12,0.03940854611548857,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11530,8P11530,15,Southern 5,13,0.03938442017502456,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05689,8N05689,15,Southern 5,14,0.03888331202559199,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N14293,8N14293,15,Southern 5,15,0.0388028006217391,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05697,8N05697,15,Southern 5,16,0.03869721052053189,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N73795,8N73795,15,Southern 5,17,0.03860221443238911,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P11535,8P11535,15,Southern 5,18,0.038602189216024714,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05677,8N05677,15,Southern 5,19,0.03854735704690709,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N14340,8N14340,15,Southern 5,20,0.03840643628052093,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N87628,8N87628,15,Southern 5,21,0.038304259362223175,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8P14866,8P14866,15,Southern 5,22,0.038243319919641604,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05363,8N05363,15,Southern 5,23,0.038137948036604495,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05681,8N05681,15,Southern 5,24,0.03778103033025735,
body_mass,14,Southern 4,0,631883636,500,bpcrr_topk_avggrm,avggrm,500,,8N05684,8N05684,15,Southern 5,25,0.03771398158996351,
