trait,target_island,cal_fraction,n_cal_samples,repeat,split_seed,subset,ringnr
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8N72040
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8M72327
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8943761
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8730552
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8943474
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8934475
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8730959
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8651772
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8N14806
body_mass,3,0.05154639175257732,10,2,1209620117,cal,8730927
body_mass,3,0.05154639175257732,10,2,1209620117,test,8N72487
body_mass,3,0.05154639175257732,10,2,1209620117,test,8939419
body_mass,3,0.05154639175257732,10,2,1209620117,test,8917841
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L30832
body_mass,3,0.05154639175257732,10,2,1209620117,test,8M72014
body_mass,3,0.05154639175257732,10,2,1209620117,test,8N05946
body_mass,3,0.05154639175257732,10,2,1209620117,test,8747088
body_mass,3,0.05154639175257732,10,2,1209620117,test,8747497
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L64856
body_mass,3,0.05154639175257732,10,2,1209620117,test,8M72120
body_mass,3,0.05154639175257732,10,2,1209620117,test,8981929
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L57789
body_mass,3,0.05154639175257732,10,2,1209620117,test,8681385
body_mass,3,0.05154639175257732,10,2,1209620117,test,8598592
body_mass,3,0.05154639175257732,10,2,1209620117,test,8598790
body_mass,3,0.05154639175257732,10,2,1209620117,test,8934231
body_mass,3,0.05154639175257732,10,2,1209620117,test,8M31041
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L64839
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L19688
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L57729
body_mass,3,0.05154639175257732,10,2,1209620117,test,8934808
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L19506
body_mass,3,0.05154639175257732,10,2,1209620117,test,8934883
body_mass,3,0.05154639175257732,10,2,1209620117,test,8934039
body_mass,3,0.05154639175257732,10,2,1209620117,test,8939475
body_mass,3,0.05154639175257732,10,2,1209620117,test,8N87284
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L19540
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L52241
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L89994
body_mass,3,0.05154639175257732,10,2,1209620117,test,8730957
body_mass,3,0.05154639175257732,10,2,1209620117,test,8934474
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L52231
body_mass,3,0.05154639175257732,10,2,1209620117,test,8943164
body_mass,3,0.05154639175257732,10,2,1209620117,test,8M71674
body_mass,3,0.05154639175257732,10,2,1209620117,test,8N14733
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L64266
body_mass,3,0.05154639175257732,10,2,1209620117,test,8M71672
body_mass,3,0.05154639175257732,10,2,1209620117,test,8939824
body_mass,3,0.05154639175257732,10,2,1209620117,test,8N87995
body_mass,3,0.05154639175257732,10,2,1209620117,test,8730547
body_mass,3,0.05154639175257732,10,2,1209620117,test,8L52224
body_mass,3,0.05154639175257732,10,2,1209620117,test,8730548
body_mass,3,0.05154639175257732,10,2,1209620117,test,8730932
body_mass,3,0.05154639175257732,10,2,1209620117,test,8681247
body_mass,3,0.10309278350515463,20,2,270935794,cal,8P14665
body_mass,3,0.10309278350515463,20,2,270935794,cal,8934475
body_mass,3,0.10309278350515463,20,2,270935794,cal,8N13496
body_mass,3,0.10309278350515463,20,2,270935794,cal,8917977
body_mass,3,0.10309278350515463,20,2,270935794,cal,8730943
body_mass,3,0.10309278350515463,20,2,270935794,cal,8M72326
body_mass,3,0.10309278350515463,20,2,270935794,cal,8747374
body_mass,3,0.10309278350515463,20,2,270935794,cal,8730552
body_mass,3,0.10309278350515463,20,2,270935794,cal,8747286
body_mass,3,0.10309278350515463,20,2,270935794,cal,8M72014
body_mass,3,0.10309278350515463,20,2,270935794,cal,8747492
body_mass,3,0.10309278350515463,20,2,270935794,cal,8N72487
body_mass,3,0.10309278350515463,20,2,270935794,cal,8N72208
body_mass,3,0.10309278350515463,20,2,270935794,cal,8934875
body_mass,3,0.10309278350515463,20,2,270935794,cal,8N27901
body_mass,3,0.10309278350515463,20,2,270935794,cal,8730938
body_mass,3,0.10309278350515463,20,2,270935794,cal,8917814
body_mass,3,0.10309278350515463,20,2,270935794,cal,8681247
body_mass,3,0.10309278350515463,20,2,270935794,cal,8747158
body_mass,3,0.10309278350515463,20,2,270935794,cal,8L19505
body_mass,3,0.10309278350515463,20,2,270935794,test,8730564
body_mass,3,0.10309278350515463,20,2,270935794,test,8747498
body_mass,3,0.10309278350515463,20,2,270935794,test,8L57701
body_mass,3,0.10309278350515463,20,2,270935794,test,8N87228
body_mass,3,0.10309278350515463,20,2,270935794,test,8L64812
body_mass,3,0.10309278350515463,20,2,270935794,test,8N06028
body_mass,3,0.10309278350515463,20,2,270935794,test,8M71672
body_mass,3,0.10309278350515463,20,2,270935794,test,8730945
body_mass,3,0.10309278350515463,20,2,270935794,test,8730565
body_mass,3,0.10309278350515463,20,2,270935794,test,8747287
body_mass,3,0.10309278350515463,20,2,270935794,test,8L30809
body_mass,3,0.10309278350515463,20,2,270935794,test,8N72448
body_mass,3,0.10309278350515463,20,2,270935794,test,8939475
body_mass,3,0.10309278350515463,20,2,270935794,test,8651600
body_mass,3,0.10309278350515463,20,2,270935794,test,8934215
body_mass,3,0.10309278350515463,20,2,270935794,test,8L19540
body_mass,3,0.10309278350515463,20,2,270935794,test,8681472
body_mass,3,0.10309278350515463,20,2,270935794,test,8917841
body_mass,3,0.10309278350515463,20,2,270935794,test,8M31739
body_mass,3,0.10309278350515463,20,2,270935794,test,8M72327
body_mass,3,0.10309278350515463,20,2,270935794,test,8L52224
body_mass,3,0.10309278350515463,20,2,270935794,test,8651511
body_mass,3,0.10309278350515463,20,2,270935794,test,8887130
body_mass,3,0.10309278350515463,20,2,270935794,test,8730554
body_mass,3,0.10309278350515463,20,2,270935794,test,8651786
body_mass,3,0.10309278350515463,20,2,270935794,test,8681248
body_mass,3,0.10309278350515463,20,2,270935794,test,8L88307
body_mass,3,0.10309278350515463,20,2,270935794,test,8730957
body_mass,3,0.10309278350515463,20,2,270935794,test,8M72323
body_mass,3,0.10309278350515463,20,2,270935794,test,8598790
body_mass,3,0.10309278350515463,20,2,270935794,test,8681237
body_mass,3,0.10309278350515463,20,2,270935794,test,8P11058
body_mass,3,0.10309278350515463,20,2,270935794,test,8981536
body_mass,3,0.10309278350515463,20,2,270935794,test,8L64266
body_mass,3,0.10309278350515463,20,2,270935794,test,8730952
body_mass,3,0.10309278350515463,20,2,270935794,test,8L64397
body_mass,3,0.10309278350515463,20,2,270935794,test,8N14718
body_mass,3,0.10309278350515463,20,2,270935794,test,8L52231
body_mass,3,0.10309278350515463,20,2,270935794,test,8573815
body_mass,3,0.10309278350515463,20,2,270935794,test,8887422
body_mass,3,0.10309278350515463,20,2,270935794,test,8747281
body_mass,3,0.10309278350515463,20,2,270935794,test,8943473
body_mass,3,0.10309278350515463,20,2,270935794,test,8681249
body_mass,3,0.10309278350515463,20,2,270935794,test,8730972
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8M31737
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730943
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8681477
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8981536
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L30809
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8934875
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8943761
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730554
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L64372
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730927
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8917840
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8M72036
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8N06029
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L57729
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L19569
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730565
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L64397
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730558
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730952
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8934475
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8747287
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L64856
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8L19505
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8730972
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8939442
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8934471
body_mass,3,0.20618556701030927,40,2,1009023551,cal,8747492
