trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,ringnumber,source_island,source_island_name
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19549,8,Lovund
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19556,8,Lovund
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19559,8,Lovund
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19578,8,Lovund
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19596,2,Træna
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19610,9,Sleneset
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19624,9,Sleneset
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19633,2,Træna
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19661,2,Træna
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19663,7,Onøy og Lurøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19666,7,Onøy og Lurøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19693,2,Træna
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19728,4,Gjerøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19729,4,Gjerøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19825,4,Gjerøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19830,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19835,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19839,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19858,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19860,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19862,6,Indre Kvarøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19877,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19899,6,Indre Kvarøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19912,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19917,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19919,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19920,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19921,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19922,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19928,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19926,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19930,10,Aldra
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19934,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19936,5,Hestmannøy
body_mass,3,Selvær,0,261820732,4500,pevmean_ga,8L19944,7,Onøy og Lurøy
