trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,ringnumber,source_island,source_island_name
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19505,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19506,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19540,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19549,8,Lovund
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19556,8,Lovund
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19559,8,Lovund
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19568,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19569,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19578,8,Lovund
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19595,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19596,2,Træna
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19610,9,Sleneset
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19624,9,Sleneset
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19633,2,Træna
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19656,3,Selvær
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19661,2,Træna
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19663,7,Onøy og Lurøy
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19666,7,Onøy og Lurøy
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19693,2,Træna
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19729,4,Gjerøy
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19813,5,Hestmannøy
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19825,4,Gjerøy
body_mass,6,Indre Kvarøy,3,1125825237,4500,pevmean_ga,8L19830,5,Hestmannøy
