trait,target_island,cal_fraction,n_cal_samples,repeat,split_seed,subset,ringnr
wing,3,0.05235602094240838,10,9,903645139,cal,8730953
wing,3,0.05235602094240838,10,9,903645139,cal,8598579
wing,3,0.05235602094240838,10,9,903645139,cal,8M71765
wing,3,0.05235602094240838,10,9,903645139,cal,8L57701
wing,3,0.05235602094240838,10,9,903645139,cal,8681473
wing,3,0.05235602094240838,10,9,903645139,cal,8943761
wing,3,0.05235602094240838,10,9,903645139,cal,8L52231
wing,3,0.05235602094240838,10,9,903645139,cal,8747498
wing,3,0.05235602094240838,10,9,903645139,cal,8L30388
wing,3,0.05235602094240838,10,9,903645139,cal,8L89998
wing,3,0.05235602094240838,10,9,903645139,test,8747492
wing,3,0.05235602094240838,10,9,903645139,test,8M31035
wing,3,0.05235602094240838,10,9,903645139,test,8681385
wing,3,0.05235602094240838,10,9,903645139,test,8681240
wing,3,0.05235602094240838,10,9,903645139,test,8981538
wing,3,0.05235602094240838,10,9,903645139,test,8L64169
wing,3,0.05235602094240838,10,9,903645139,test,8L64175
wing,3,0.05235602094240838,10,9,903645139,test,8917814
wing,3,0.05235602094240838,10,9,903645139,test,8934231
wing,3,0.05235602094240838,10,9,903645139,test,8939419
wing,3,0.05235602094240838,10,9,903645139,test,8681237
wing,3,0.05235602094240838,10,9,903645139,test,8L19505
wing,3,0.05235602094240838,10,9,903645139,test,8P11058
wing,3,0.05235602094240838,10,9,903645139,test,8N72245
wing,3,0.05235602094240838,10,9,903645139,test,8943496
wing,3,0.05235602094240838,10,9,903645139,test,8939460
wing,3,0.05235602094240838,10,9,903645139,test,8N13333
wing,3,0.05235602094240838,10,9,903645139,test,8651772
wing,3,0.05235602094240838,10,9,903645139,test,8730957
wing,3,0.05235602094240838,10,9,903645139,test,8730973
wing,3,0.05235602094240838,10,9,903645139,test,8651786
wing,3,0.05235602094240838,10,9,903645139,test,8L19506
wing,3,0.05235602094240838,10,9,903645139,test,8N87226
wing,3,0.05235602094240838,10,9,903645139,test,8M72259
wing,3,0.05235602094240838,10,9,903645139,test,8730945
wing,3,0.05235602094240838,10,9,903645139,test,8934471
wing,3,0.05235602094240838,10,9,903645139,test,8L30819
wing,3,0.05235602094240838,10,9,903645139,test,8N72040
wing,3,0.05235602094240838,10,9,903645139,test,8981929
wing,3,0.05235602094240838,10,9,903645139,test,8L19568
wing,3,0.05235602094240838,10,9,903645139,test,8N42229
wing,3,0.05235602094240838,10,9,903645139,test,8747375
wing,3,0.05235602094240838,10,9,903645139,test,8573815
wing,3,0.05235602094240838,10,9,903645139,test,8M72327
wing,3,0.05235602094240838,10,9,903645139,test,8887422
wing,3,0.05235602094240838,10,9,903645139,test,8943473
wing,3,0.05235602094240838,10,9,903645139,test,8681247
wing,3,0.05235602094240838,10,9,903645139,test,8747286
wing,3,0.05235602094240838,10,9,903645139,test,8M31041
wing,3,0.05235602094240838,10,9,903645139,test,8981956
wing,3,0.05235602094240838,10,9,903645139,test,8730974
wing,3,0.10471204188481675,20,9,1083290233,cal,8N87226
wing,3,0.10471204188481675,20,9,1083290233,cal,8934474
wing,3,0.10471204188481675,20,9,1083290233,cal,8934808
wing,3,0.10471204188481675,20,9,1083290233,cal,8N27901
wing,3,0.10471204188481675,20,9,1083290233,cal,8747286
wing,3,0.10471204188481675,20,9,1083290233,cal,8681237
wing,3,0.10471204188481675,20,9,1083290233,cal,8L64856
wing,3,0.10471204188481675,20,9,1083290233,cal,8N06029
wing,3,0.10471204188481675,20,9,1083290233,cal,8730932
wing,3,0.10471204188481675,20,9,1083290233,cal,8681479
wing,3,0.10471204188481675,20,9,1083290233,cal,8981929
wing,3,0.10471204188481675,20,9,1083290233,cal,8N06028
wing,3,0.10471204188481675,20,9,1083290233,cal,8L64372
wing,3,0.10471204188481675,20,9,1083290233,cal,8573281
wing,3,0.10471204188481675,20,9,1083290233,cal,8N87995
wing,3,0.10471204188481675,20,9,1083290233,cal,8L57789
wing,3,0.10471204188481675,20,9,1083290233,cal,8651783
wing,3,0.10471204188481675,20,9,1083290233,cal,8934215
wing,3,0.10471204188481675,20,9,1083290233,cal,8M72327
wing,3,0.10471204188481675,20,9,1083290233,cal,8681249
wing,3,0.10471204188481675,20,9,1083290233,test,8939419
wing,3,0.10471204188481675,20,9,1083290233,test,8M72014
wing,3,0.10471204188481675,20,9,1083290233,test,8N05946
wing,3,0.10471204188481675,20,9,1083290233,test,8747287
wing,3,0.10471204188481675,20,9,1083290233,test,8L64256
wing,3,0.10471204188481675,20,9,1083290233,test,8L30809
wing,3,0.10471204188481675,20,9,1083290233,test,8730563
wing,3,0.10471204188481675,20,9,1083290233,test,8747288
wing,3,0.10471204188481675,20,9,1083290233,test,8943496
wing,3,0.10471204188481675,20,9,1083290233,test,8730548
wing,3,0.10471204188481675,20,9,1083290233,test,8943474
wing,3,0.10471204188481675,20,9,1083290233,test,8730974
wing,3,0.10471204188481675,20,9,1083290233,test,8747492
wing,3,0.10471204188481675,20,9,1083290233,test,8730551
wing,3,0.10471204188481675,20,9,1083290233,test,8N72245
wing,3,0.10471204188481675,20,9,1083290233,test,8L19569
wing,3,0.10471204188481675,20,9,1083290233,test,8N72040
wing,3,0.10471204188481675,20,9,1083290233,test,8N72488
wing,3,0.10471204188481675,20,9,1083290233,test,8681473
wing,3,0.10471204188481675,20,9,1083290233,test,8573989
wing,3,0.10471204188481675,20,9,1083290233,test,8917840
wing,3,0.10471204188481675,20,9,1083290233,test,8939824
wing,3,0.10471204188481675,20,9,1083290233,test,8917841
wing,3,0.10471204188481675,20,9,1083290233,test,8934875
wing,3,0.10471204188481675,20,9,1083290233,test,8943761
wing,3,0.10471204188481675,20,9,1083290233,test,8L52619
wing,3,0.10471204188481675,20,9,1083290233,test,8L64839
wing,3,0.10471204188481675,20,9,1083290233,test,8N42229
wing,3,0.10471204188481675,20,9,1083290233,test,8L89995
wing,3,0.10471204188481675,20,9,1083290233,test,8681477
wing,3,0.10471204188481675,20,9,1083290233,test,8939475
wing,3,0.10471204188481675,20,9,1083290233,test,8598592
wing,3,0.10471204188481675,20,9,1083290233,test,8730951
wing,3,0.10471204188481675,20,9,1083290233,test,8L19595
wing,3,0.10471204188481675,20,9,1083290233,test,8730945
wing,3,0.10471204188481675,20,9,1083290233,test,8L52241
wing,3,0.10471204188481675,20,9,1083290233,test,8P14620
wing,3,0.10471204188481675,20,9,1083290233,test,8934472
wing,3,0.10471204188481675,20,9,1083290233,test,8651511
wing,3,0.10471204188481675,20,9,1083290233,test,8M71673
wing,3,0.10471204188481675,20,9,1083290233,test,8934039
wing,3,0.2094240837696335,40,9,285898197,cal,8L30819
wing,3,0.2094240837696335,40,9,285898197,cal,8943164
wing,3,0.2094240837696335,40,9,285898197,cal,8L89995
wing,3,0.2094240837696335,40,9,285898197,cal,8N06020
wing,3,0.2094240837696335,40,9,285898197,cal,8598592
wing,3,0.2094240837696335,40,9,285898197,cal,8N14733
wing,3,0.2094240837696335,40,9,285898197,cal,8747281
wing,3,0.2094240837696335,40,9,285898197,cal,8917840
wing,3,0.2094240837696335,40,9,285898197,cal,8730553
wing,3,0.2094240837696335,40,9,285898197,cal,8L64256
wing,3,0.2094240837696335,40,9,285898197,cal,8573815
wing,3,0.2094240837696335,40,9,285898197,cal,8N05567
wing,3,0.2094240837696335,40,9,285898197,cal,8651786
wing,3,0.2094240837696335,40,9,285898197,cal,8730938
wing,3,0.2094240837696335,40,9,285898197,cal,8598790
wing,3,0.2094240837696335,40,9,285898197,cal,8681473
wing,3,0.2094240837696335,40,9,285898197,cal,8934474
wing,3,0.2094240837696335,40,9,285898197,cal,8L48555
wing,3,0.2094240837696335,40,9,285898197,cal,8L57701
wing,3,0.2094240837696335,40,9,285898197,cal,8747135
wing,3,0.2094240837696335,40,9,285898197,cal,8L19595
wing,3,0.2094240837696335,40,9,285898197,cal,8L57927
wing,3,0.2094240837696335,40,9,285898197,cal,8730932
wing,3,0.2094240837696335,40,9,285898197,cal,8681249
wing,3,0.2094240837696335,40,9,285898197,cal,8730547
wing,3,0.2094240837696335,40,9,285898197,cal,8M72224
wing,3,0.2094240837696335,40,9,285898197,cal,8747288
wing,3,0.2094240837696335,40,9,285898197,cal,8747374
wing,3,0.2094240837696335,40,9,285898197,cal,8730552
