trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,selection_method,n_components,selection_n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,pca_dist
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N13628,8N13628,14,Southern 4,1,0.08089996259984335,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14988,8P14988,14,Southern 4,2,0.06819554118749481,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14868,8P14868,14,Southern 4,3,0.06424383301474636,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73243,8N73243,14,Southern 4,4,0.06350220149391286,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87841,8N87841,14,Southern 4,5,0.06290384833771909,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87862,8N87862,14,Southern 4,6,0.0625966299936453,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14815,8P14815,14,Southern 4,7,0.062462464848774865,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14986,8P14986,14,Southern 4,8,0.061658615164116866,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73602,8N73602,14,Southern 4,9,0.05783620608029719,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P11566,8P11566,14,Southern 4,10,0.05558460546674728,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14848,8P14848,14,Southern 4,11,0.05520682290852097,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05626,8N05626,14,Southern 4,12,0.05520352724913986,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P11572,8P11572,14,Southern 4,13,0.0541951005134122,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73612,8N73612,14,Southern 4,14,0.053641167977604716,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05606,8N05606,14,Southern 4,15,0.053450581291552536,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27091,8N27091,14,Southern 4,16,0.053235894534280126,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14985,8P14985,14,Southern 4,17,0.05308996418500973,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27067,8N27067,14,Southern 4,18,0.05303419733231402,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05645,8N05645,14,Southern 4,19,0.05291090204529763,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27053,8N27053,14,Southern 4,20,0.052597399138414165,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14958,8P14958,14,Southern 4,21,0.05214170144485108,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P11544,8P11544,14,Southern 4,22,0.05189971101229121,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P11555,8P11555,14,Southern 4,23,0.05108048457080621,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05983,8N05983,14,Southern 4,24,0.050193213079878264,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87835,8N87835,14,Southern 4,25,0.05009115156814352,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87828,8N87828,14,Southern 4,26,0.04992104003880832,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N13098,8N13098,14,Southern 4,27,0.04978844275567501,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05624,8N05624,14,Southern 4,28,0.049050407521678885,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14960,8P14960,14,Southern 4,29,0.04900984138453205,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N13097,8N13097,14,Southern 4,30,0.04896764808153642,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05622,8N05622,14,Southern 4,31,0.04883849724915842,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N06690,8N06690,14,Southern 4,32,0.04854075099299708,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14874,8P14874,14,Southern 4,33,0.04818983925143294,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N28795,8N28795,14,Southern 4,34,0.04790958248609295,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14947,8P14947,14,Southern 4,35,0.0479051051428754,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27065,8N27065,14,Southern 4,36,0.04790069671800619,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87814,8N87814,14,Southern 4,37,0.04784967096827343,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14337,8P14337,14,Southern 4,38,0.047479990336890696,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73998,8N73998,14,Southern 4,39,0.047470674503814266,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05641,8N05641,14,Southern 4,40,0.04717835275944191,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87864,8N87864,14,Southern 4,41,0.04701585965302515,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27199,8N27199,14,Southern 4,42,0.04680697652094766,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27198,8N27198,14,Southern 4,43,0.0466396657121427,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05630,8N05630,14,Southern 4,44,0.046618254391437096,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N87825,8N87825,14,Southern 4,45,0.0465955126928151,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P11385,8P11385,14,Southern 4,46,0.04636472453773619,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N13119,8N13119,14,Southern 4,47,0.046045154882212794,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73613,8N73613,14,Southern 4,48,0.04594347837482511,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73249,8N73249,14,Southern 4,49,0.045847200933171704,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N73605,8N73605,14,Southern 4,50,0.045741587044282654,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N42442,8N42442,14,Southern 4,51,0.04549687285215549,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N13618,8N13618,14,Southern 4,52,0.04495896167900571,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27078,8N27078,14,Southern 4,53,0.044909806443556126,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8P14996,8P14996,14,Southern 4,54,0.044733328887256396,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N27089,8N27089,14,Southern 4,55,0.04473309055599961,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05628,8N05628,14,Southern 4,56,0.04461907539777677,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05614,8N05614,14,Southern 4,57,0.04448523833848477,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N28898,8N28898,14,Southern 4,58,0.04442533774782459,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N05638,8N05638,14,Southern 4,59,0.044055426082528486,
body_mass,15,Southern 5,0,929754402,500,bpcrr_topk_avggrm,avggrm,500,,8N42985,8N42985,14,Southern 4,60,0.04383109914695199,
