trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,ringnumber,source_island,source_island_name
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19578,8,Lovund
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19920,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19921,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19928,10,Aldra
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19930,10,Aldra
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19932,10,Aldra
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19951,7,Onøy og Lurøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19974,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19977,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19979,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19986,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L19995,0,Nesøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L26578,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L26597,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30162,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30168,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30180,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30286,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30320,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30340,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30354,7,Onøy og Lurøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30591,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30695,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30696,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30748,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30757,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30762,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30764,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30766,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30783,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30784,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L30920,0,Nesøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48311,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48336,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48344,0,Nesøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48365,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48410,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48418,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48425,7,Onøy og Lurøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48446,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48451,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48459,10,Aldra
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48555,3,Selvær
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48566,7,Onøy og Lurøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48602,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48607,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48608,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48610,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48691,10,Aldra
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48692,0,Nesøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48694,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48695,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48763,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48764,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48765,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L48768,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L49910,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L49938,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L49991,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52207,9,Sleneset
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52212,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52228,8,Lovund
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52230,9,Sleneset
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52231,3,Selvær
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52243,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52284,2,Træna
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52310,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52315,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52344,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52353,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52361,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52384,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52389,11,Southern 1
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52392,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52396,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52397,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52426,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52428,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52588,7,Onøy og Lurøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52597,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52623,1,Myken
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52922,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52950,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52961,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52965,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L52967,6,Indre Kvarøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L57791,8,Lovund
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L57826,9,Sleneset
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L57858,9,Sleneset
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L57880,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8M71460,13,Southern 3
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64060,14,Southern 4
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64144,8,Lovund
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64148,2,Træna
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64176,2,Træna
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64178,9,Sleneset
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8M71362,12,Southern 2
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64266,3,Selvær
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64271,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64272,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64278,5,Hestmannøy
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64372,3,Selvær
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64399,2,Træna
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8M71162,13,Southern 3
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8M71158,13,Southern 3
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8M71141,13,Southern 3
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64858,2,Træna
body_mass,4,Gjerøy,1,1639125088,1000,pevmean_ga,8L64869,11,Southern 1
